"COSEWIC common name","COSEWIC population","COSEWIC status","COSEWIC last assessment date","Scientific name","Legal common name","Legal population","Schedule status","Last status change","SARA schedule","Date added","Range","Taxonomic group","Under consideration for","GIC decision","Domain","Estimated re-assessment"
"Coho Salmon","Interior Fraser population","Threatened",2016-11-27,"Oncorhynchus kisutch","Coho Salmon","Interior Fraser population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2026-11-27
"Collared Pika","general","Special Concern",2011-11-25,"Ochotona collaris","Collared Pika",NA,"Special Concern",2017-02-03,"Schedule 1",2017-02-03,"British Columbia, Northwest Territories, Yukon","Mammals (terrestrial)",NA,"Added to list","Terrestrial",2021-11-25
"Columbia Dune Moth","general","Data Deficient",2017-04-28,"Copablepharon absidum",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Arthropods",NA,NA,"Terrestrial",2027-04-28
"Columbia Quillwort","general","Endangered",2019-05-03,"Isoetes minima","Columbia Quillwort",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2029-05-03
"Columbia Sculpin","general","Special Concern",2019-11-29,"Cottus hubbsi","Columbia Sculpin",NA,"Special Concern",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Fishes (freshwater)",NA,"Added to list","Aquatic",2029-11-29
"Columbia Spotted Frog","general","Not at Risk",2000-05-01,"Rana luteiventris",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Yukon","Amphibians",NA,NA,"Terrestrial",2010-05-01
"Columbian Carpet Moss","general","Special Concern",2014-11-28,"Bryoerythrophyllum columbianum","Columbian Carpet Moss",NA,"Special Concern",2005-07-14,"Schedule 1",2005-07-14,"British Columbia","Mosses",NA,"Added to list","Terrestrial",2024-11-28
"Common Loon","general","Not at Risk",1997-04-01,"Gavia immer",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",2007-04-01
"Common Minke Whale North Pacific subspecies","general","Not at Risk",2006-04-29,"Balaenoptera acutorostrata scammonii",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2016-04-29
"Common Nighthawk","general","Special Concern",2018-04-27,"Chordeiles minor","Common Nighthawk",NA,"Special Concern",2023-02-03,"Schedule 1",2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,"Downlisted: Threatened to special concern","Terrestrial",2028-04-27
"Common Poorwill","general","Data Deficient",1993-04-01,"Phalaenoptilus nuttallii",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Saskatchewan","Birds",NA,NA,"Terrestrial",2003-04-01
"Contorted-pod Evening-primrose","general","Endangered",2006-04-29,"Camissonia contorta","Contorted-pod Evening-primrose",NA,"Endangered",2007-12-13,"Schedule 1",2007-12-13,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2016-04-29
"Cooper's Hawk","general","Not at Risk",1996-04-01,"Accipiter cooperii",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan","Birds",NA,NA,"Terrestrial",2006-04-01
"Cordilleran Sucker","general","Threatened",2022-12-03,"Pantosteus bondi","Cordilleran Sucker",NA,"No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)","Addition","Pending","Aquatic",2032-12-03
"Crumpled Tarpaper Lichen","general","Threatened",2010-11-26,"Collema coniophilum","Crumpled Tarpaper Lichen",NA,"Threatened",2017-02-03,"Schedule 1",2017-02-03,"British Columbia","Lichens",NA,"Added to list","Terrestrial",2020-11-26
"Cryptic Paw Lichen","general","Threatened",2019-05-03,"Nephroma occultum","Cryptic Paw Lichen",NA,"Special Concern",NA,"Schedule 1",2007-12-13,"British Columbia","Lichens","Status change","Pending","Terrestrial",2029-05-03
"Cuvier's Beaked Whale","general","Not at Risk",1990-04-01,"Ziphius cavirostris",NA,NA,"No Status",NA,"No schedule",NA,"Atlantic Ocean, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2000-04-01
"Dall's Porpoise","general","Not at Risk",1989-04-01,"Phocoenoides dalli",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",1999-04-01
"Dalton’s Moss","general","Endangered",2019-05-03,"Daltonia splachnoides","Dalton’s Moss",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Mosses",NA,"Added to list","Terrestrial",2029-05-03
"Darkblotched Rockfish","general","Special Concern",2009-11-27,"Sebastes crameri","Darkblotched Rockfish",NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2019-11-27
"Deltoid Balsamroot","general","Endangered",2009-04-26,"Balsamorhiza deltoidea","Deltoid Balsamroot",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2019-04-26
"Dense Spike-primrose","general","Endangered",2005-05-05,"Epilobium densiflorum","Dense Spike-primrose",NA,"Endangered",2006-08-15,"Schedule 1",2006-08-15,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2015-05-05
"Dense-flowered Lupine","general","Endangered",2005-05-05,"Lupinus densiflorus","Dense-flowered Lupine",NA,"Endangered",2006-08-15,"Schedule 1",2006-08-15,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2015-05-05
"Desert Nightsnake","general","Endangered",2011-05-06,"Hypsiglena chlorophaea","Desert Nightsnake",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Reptiles",NA,"Added to list","Terrestrial",2021-05-06
"Double-crested Cormorant","general","Not at Risk",1978-04-01,"Phalacrocorax auritus",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",1988-04-01
"Dromedary Jumping-slug","general","Threatened",2014-05-02,"Hemphillia dromedarius","Dromedary Jumping-slug",NA,"Threatened",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Molluscs",NA,"Added to list","Terrestrial",2024-05-02
"Drooping-leaved Beard-moss","general","Endangered",2019-05-03,"Oxystegus recurvifolius","Drooping-leaved Beard-moss",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Mosses",NA,"Added to list","Terrestrial",2029-05-03
"Dun Skipper vestris subspecies","general","Threatened",2013-05-03,"Euphyes vestris vestris","Dun Skipper vestris subspecies",NA,"Threatened",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Arthropods",NA,"Added to list","Terrestrial",2023-05-03
"Dwarf Hesperochiron","general","Endangered",2019-05-03,"Hesperochiron pumilus","Dwarf Hesperochiron",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2029-05-03
"Dwarf Sandwort","general","Endangered",2004-05-01,"Minuartia pusilla","Dwarf Sandwort",NA,"Endangered",2005-07-14,"Schedule 1",2005-07-14,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2014-05-01
"Dwarf Sperm Whale","general","Data Deficient",1997-04-01,"Kogia simus",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2007-04-01
"Dwarf Woolly-heads","Southern Mountain population","Endangered",2006-04-29,"Psilocarphus brevissimus","Dwarf Woolly-heads","Southern Mountain population","Endangered",2007-12-13,"Schedule 1",2007-12-13,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2016-04-29
"Eastern Red Bat","general","Endangered",2023-05-05,"Lasiurus borealis","Eastern Red Bat",NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Mammals (terrestrial)","Addition","Pending","Terrestrial",2033-05-05
"Edwards' Beach Moth","general","Endangered",2021-05-05,"Anarta edwardsii","Edwards' Beach Moth",NA,"Endangered",2011-02-04,"Schedule 1",2011-02-04,"British Columbia","Arthropods",NA,"Added to list","Terrestrial",2031-05-05
"Enos Lake Benthic Threespine Stickleback","general","Extinct",2023-12-01,"Gasterosteus aculeatus","Enos Lake Benthic Threespine Stickleback",NA,"Endangered",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Fishes (freshwater)",NA,"Added to list","Aquatic",2033-12-01
"Enos Lake Limnetic Threespine Stickleback","general","Extinct",2023-12-01,"Gasterosteus aculeatus","Enos Lake Limnetic Threespine Stickleback",NA,"Endangered",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Fishes (freshwater)",NA,"Added to list","Aquatic",2033-12-01
"Enos Lake Threespine Sticklebacks","general","Non-active",2002-11-01,"Gasterosteus spp.","Enos Lake Sticklebacks",NA,NA,NA,NA,NA,"British Columbia","Fishes (freshwater)",NA,NA,"Aquatic",2012-11-01
"Ensatina","general","Not at Risk",1999-04-01,"Ensatina eschscholtzii",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Amphibians",NA,NA,"Terrestrial",2009-04-01
"Ermine haidarum subspecies","general","Threatened",2015-05-01,"Mustela erminea haidarum","Ermine haidarum subspecies",NA,"Threatened",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Mammals (terrestrial)",NA,"Added to list","Terrestrial",2025-05-01
"Eulachon","Central Pacific Coast population","Endangered",2011-05-06,"Thaleichthys pacificus","Eulachon","Central Pacific Coast population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2021-05-06
"Eulachon","Fraser River population","Endangered",2011-05-06,"Thaleichthys pacificus","Eulachon","Fraser River population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2021-05-06
"Eulachon","Nass / Skeena Rivers population","Special Concern",2013-05-03,"Thaleichthys pacificus","Eulachon","Nass / Skeena Rivers population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2023-05-03
"Evening Fieldslug","general","Data Deficient",2003-11-01,"Deroceras hesperium",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Molluscs",NA,NA,"Terrestrial",2013-11-01
"Evening Grosbeak","general","Special Concern",2016-11-27,"Coccothraustes vespertinus","Evening Grosbeak",NA,"Special Concern",2019-05-22,"Schedule 1",2019-05-22,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,"Added to list","Terrestrial",2026-11-27
"False Killer Whale","general","Not at Risk",1990-04-01,"Pseudorca crassidens",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2000-04-01
"Fameflower","general","Not at Risk",1990-04-01,"Talinum sediforme",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Vascular Plants",NA,NA,"Terrestrial",2000-04-01
"Fin Whale","general","Non-active",2005-05-05,"Balaenoptera physalus","Fin Whale",NA,NA,NA,NA,NA,"Atlantic Ocean, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2015-05-05
"Fin Whale","Pacific population","Special Concern",2019-05-03,"Balaenoptera physalus","Fin Whale","Pacific population","Threatened",NA,"Schedule 1",2006-08-15,"Pacific Ocean","Mammals (marine)","Status change","Pending","Aquatic",2029-05-03
"Flammulated Owl","general","Special Concern",2010-04-25,"Otus flammeolus","Flammulated Owl",NA,"Special Concern",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Birds",NA,"Added to list","Terrestrial",2020-04-25
"Foothill Sedge","general","Special Concern",2022-12-03,"Carex tumulicola","Foothill Sedge",NA,"Endangered",NA,"Schedule 1",2010-02-23,"British Columbia","Vascular Plants","Status change","Pending","Terrestrial",2032-12-03
"Forster's Tern","general","Data Deficient",1996-04-01,"Sterna forsteri",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan","Birds",NA,NA,"Terrestrial",2006-04-01
"Fourhorn Sculpin","Salt water form","Not at Risk",1989-04-01,"Myoxocephalus quadricornis",NA,NA,"No Status",NA,"No schedule",NA,"Arctic Ocean, Atlantic Ocean, Pacific Ocean","Fishes (freshwater)",NA,NA,"Aquatic",1999-04-01
"Fragrant Popcornflower","general","Endangered",2008-04-25,"Plagiobothrys figuratus","Fragrant Popcornflower",NA,"Endangered",2010-02-23,"Schedule 1",2010-02-23,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2018-04-25
"Fringed Bat","general","Data Deficient",2004-05-01,"Myotis thysanodes","Fringed Bat",NA,NA,NA,NA,NA,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2014-05-01
"Frosted Glass-whiskers","Pacific population","Data Deficient",2014-11-28,"Sclerophora peronella",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Lichens",NA,NA,"Terrestrial",2024-11-28
"Georgia Basin Bog Spider","general","Special Concern",2012-11-25,"Gnaphosa snohomish","Georgia Basin Bog Spider",NA,"Special Concern",2018-02-02,"Schedule 1",2018-02-02,"British Columbia","Arthropods",NA,"Added to list","Terrestrial",2022-11-25
"Giant Helleborine","general","Not at Risk",2015-11-26,"Epipactis gigantea","Giant Helleborine",NA,NA,NA,NA,NA,"British Columbia","Vascular Plants",NA,NA,"Terrestrial",2025-11-26
"Giant Threespine Stickleback","general","Special Concern",2023-12-01,"Gasterosteus aculeatus","Giant Threespine Stickleback",NA,"Special Concern",2019-08-08,"Schedule 1",2019-08-08,"British Columbia","Fishes (freshwater)",NA,"Added to list","Aquatic",2033-12-01
"Golden Eagle","general","Not at Risk",1996-04-01,"Aquila chrysaetos",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",2006-04-01
"Golden Paintbrush","general","Endangered",2007-11-30,"Castilleja levisecta","Golden Paintbrush",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2017-11-30
"Grand Coulee Owl-clover","general","Endangered",2005-05-05,"Orthocarpus barbatus","Grand Coulee Owl-clover",NA,"Endangered",2006-08-15,"Schedule 1",2006-08-15,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2015-05-05
"Grappletail","general","Special Concern",2021-05-05,"Octogomphus specularis","Grappletail",NA,"No Status",NA,"No schedule",NA,"British Columbia","Arthropods","Addition","Pending","Terrestrial",2031-05-05
"Gray's Desert-parsley","general","Threatened",2008-11-28,"Lomatium grayi","Gray's Desert-parsley",NA,"Threatened",2011-02-04,"Schedule 1",2011-02-04,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2018-11-28
"Great Basin Gophersnake","general","Threatened",2013-05-03,"Pituophis catenifer deserticola","Great Basin Gophersnake",NA,"Threatened",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Reptiles",NA,"Added to list","Terrestrial",2023-05-03
"Great Basin Spadefoot","general","Threatened",2019-11-29,"Spea intermontana","Great Basin Spadefoot",NA,"Threatened",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Amphibians",NA,"Added to list","Terrestrial",2029-11-29
"Great Blue Heron fannini subspecies","general","Non-active",2022-12-03,"Ardea herodias fannini","Great Blue Heron fannini subspecies",NA,"Special Concern",2010-02-23,"Schedule 1",2010-02-23,"British Columbia","Birds",NA,"Added to list","Terrestrial",2032-12-03
"Great Grey Owl","general","Not at Risk",1996-04-01,"Strix nebulosa",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",2006-04-01
"Greater Sage-Grouse phaios subspecies","general","Extirpated",2021-12-01,"Centrocercus urophasianus phaios","Greater Sage-Grouse phaios subspecies",NA,"Extirpated",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Birds",NA,"Added to list","Terrestrial",2031-12-01
"Green Sturgeon","general","Special Concern",2013-11-01,"Acipenser medirostris","Green Sturgeon",NA,"Special Concern",2006-08-15,"Schedule 1",2006-08-15,"British Columbia, Pacific Ocean","Fishes (freshwater)",NA,"Added to list","Aquatic",2023-11-01
"Grey Flycatcher","general","Not at Risk",1992-04-01,"Empidonax wrightii",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Birds",NA,NA,"Terrestrial",2002-04-01
"Grey Whale","Eastern North Pacific population","Non-active",2017-11-01,"Eschrichtius robustus","Grey Whale","Eastern North Pacific population","Special Concern",2005-07-14,"Schedule 1",2005-07-14,"Arctic Ocean, British Columbia, Northwest Territories, Pacific Ocean, Yukon","Mammals (marine)",NA,"Added to list","Aquatic",2027-11-01
"Grey Whale","Northern Pacific Migratory population","Not at Risk",2017-11-01,"Eschrichtius robustus",NA,NA,"No Status",NA,"No schedule",NA,"Arctic Ocean, British Columbia, Northwest Territories, Pacific Ocean, Yukon","Mammals (marine)",NA,NA,"Aquatic",2027-11-01
"Grey Whale","Pacific Coast Feeding Group population","Endangered",2017-11-01,"Eschrichtius robustus","Grey Whale","Pacific Coast Feeding Group population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Mammals (marine)","Addition","Pending","Aquatic",2027-11-01
"Grey Whale","Western Pacific population","Endangered",2017-11-01,"Eschrichtius robustus","Grey Whale","Western Pacific population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Mammals (marine)","Addition","Pending","Aquatic",2027-11-01
"Grizzly Bear","general","Non-active",1991-04-01,"Ursus arctos",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Northwest Territories, Nunavut, Yukon","Mammals (terrestrial)",NA,NA,"Terrestrial",2001-04-01
"Grizzly Bear","Northwestern population","Non-active",2012-05-04,"Ursus arctos","Grizzly Bear","Northwestern population","No Status",2005-01-12,"No schedule",NA,"Alberta, British Columbia, Northwest Territories, Nunavut, Yukon","Mammals (terrestrial)",NA,"Decision deferred further consultations required","Terrestrial",2022-05-04
"Grizzly Bear","Western population","Special Concern",2012-05-04,"Ursus arctos","Grizzly Bear","Western population","Special Concern",2018-05-30,"Schedule 1",2003-06-05,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Saskatchewan, Yukon","Mammals (terrestrial)",NA,"Added to list","Terrestrial",2022-05-04
"Gypsy Cuckoo Bumble Bee","general","Endangered",2014-05-02,"Bombus bohemicus","Gypsy Cuckoo Bumble Bee",NA,"Endangered",2018-05-30,"Schedule 1",2018-05-30,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Arthropods",NA,"Added to list","Terrestrial",2024-05-02
"Gyrfalcon","general","Not at Risk",1987-04-01,"Falco rusticolus",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",1997-04-01
"Hadley Lake Benthic Threespine Stickleback","general","Extinct",2000-05-01,"Gasterosteus aculeatus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)",NA,NA,"Aquatic",2010-05-01
"Hadley Lake Limnetic Threespine Stickleback","general","Extinct",2000-05-01,"Gasterosteus aculeatus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)",NA,NA,"Aquatic",2010-05-01
"Haida Gwaii Slug","general","Special Concern",2013-05-03,"Staala gwaii","Haida Gwaii Slug",NA,"Special Concern",2018-02-02,"Schedule 1",2018-02-02,"British Columbia","Molluscs",NA,"Added to list","Terrestrial",2023-05-03
"Hairy Paintbrush","general","Endangered",2019-05-03,"Castilleja tenuis","Hairy Paintbrush",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2029-05-03
"Half-moon Hairstreak","general","Non-active",2022-12-03,"Satyrium semiluna","Half-moon Hairstreak",NA,"Endangered",2007-12-13,"Schedule 1",2007-12-13,"Alberta, British Columbia","Arthropods",NA,"Added to list","Terrestrial",2032-12-03
"Half-moon Hairstreak","Okanagan-Similkameen population","Threatened",2022-12-03,"Satyrium semiluna","Half-moon Hairstreak","Okanagan-Similkameen population","No Status",NA,"No schedule",NA,"British Columbia","Arthropods","Addition","Pending","Terrestrial",2032-12-03
"Haller's Apple Moss","general","Threatened",2011-11-25,"Bartramia halleriana","Haller's Apple Moss",NA,"Threatened",2003-06-05,"Schedule 1",2003-06-05,"Alberta, British Columbia","Mosses",NA,"Added to list","Terrestrial",2021-11-25
"Harbour Porpoise","Pacific Ocean population","Special Concern",2016-04-29,"Phocoena phocoena vomerina","Harbour Porpoise","Pacific Ocean population","Special Concern",2005-07-14,"Schedule 1",2005-07-14,"Arctic Ocean, British Columbia, Pacific Ocean","Mammals (marine)",NA,"Added to list","Aquatic",2026-04-29
"Harbour Seal Pacific subspecies","general","Not at Risk",1999-04-01,"Phoca vitulina richardsi",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2009-04-01
"Hibberson’s Trillium","general","Threatened",2023-12-01,"Trillium hibbersonii","Hibberson’s Trillium",NA,"No Status",NA,"No schedule",NA,"British Columbia","Vascular Plants","Addition","Pending","Terrestrial",2033-12-01
"Hoary Bat","general","Endangered",2023-05-05,"Lasiurus cinereus","Hoary Bat",NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Mammals (terrestrial)","Addition","Pending","Terrestrial",2033-05-05
"Horned Grebe","general","Special Concern",2023-12-01,"Podiceps auritus","Horned Grebe",NA,"No Status",NA,"No schedule",NA,"Alberta, Atlantic Ocean, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Nunavut, Ontario, Pacific Ocean, Quebec, Saskatchewan, Yukon","Birds","Addition","Pending","Terrestrial",2033-12-01
"Horned Grebe","Western population","Non-active",2023-12-01,"Podiceps auritus","Horned Grebe","Western population","Special Concern",2017-02-03,"Schedule 1",2017-02-03,"Alberta, Atlantic Ocean, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Nunavut, Ontario, Pacific Ocean, Saskatchewan, Yukon","Birds",NA,"Added to list","Terrestrial",2033-12-01
"Hotwater Physa","general","Endangered",2008-04-25,"Physella wrighti","Hotwater Physa",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Molluscs",NA,"Added to list","Terrestrial",2018-04-25
"Howell's Triteleia","general","Endangered",2003-05-01,"Triteleia howellii","Howell's Triteleia",NA,"Endangered",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2013-05-01
"Hubbs' Beaked Whale","general","Not at Risk",1989-04-01,"Mesoplodon carlhubbsi",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",1999-04-01
"Hudsonian Godwit","general","Threatened",2019-05-03,"Limosa haemastica","Hudsonian Godwit",NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds","Addition","Pending","Terrestrial",2029-05-03
"Humpback Whale","North Pacific population","Special Concern",2022-12-03,"Megaptera novaeangliae kuzira","Humpback Whale","North Pacific population","Special Concern",2017-06-20,"Schedule 1",2005-01-12,"British Columbia, Pacific Ocean","Mammals (marine)",NA,"Downlisted","Aquatic",2032-12-03
"Humpback Whale","Western North Atlantic and North Pacific population","Non-active",1985-04-01,"Megaptera novaeangliae","Humpback Whale","Western North Atlantic and North Pacific population",NA,NA,"No schedule",NA,"Arctic Ocean, Atlantic Ocean, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",1995-04-01
"Island Blue","general","Endangered",2022-12-03,"Icaricia saepiolus insulanus","Island Blue",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Arthropods",NA,"Added to list","Terrestrial",2032-12-03
"Island Marble","general","Extirpated",2022-12-03,"Euchloe ausonides insulanus","Island Marble",NA,"Extirpated",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Arthropods",NA,"Added to list","Terrestrial",2032-12-03
"Island Tiger Moth","general","Threatened",2013-05-03,"Grammia complicata","Island Tiger Moth",NA,"No Status",NA,"No schedule",NA,"British Columbia","Arthropods","Addition","Pending","Terrestrial",2023-05-03
"Johnson's Hairstreak","general","Special Concern",2022-05-11,"Callophrys johnsoni","Johnson's Hairstreak",NA,"No Status",NA,"No schedule",NA,"British Columbia","Arthropods","Addition","Pending","Terrestrial",2032-05-11
"Keen's Long-eared Bat","general","Data Deficient",2003-11-01,"Myotis keenii","Keen's Long-eared Bat",NA,NA,NA,NA,NA,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2013-11-01
"Kellogg's Rush","general","Endangered",2003-05-01,"Juncus kelloggii","Kellogg's Rush",NA,"Endangered",2005-01-12,"Schedule 1",2005-01-12,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2013-05-01
"Killer Whale","North Pacific resident population","Non-active",2001-11-01,"Orcinus orca","Killer Whale","North Pacific resident population",NA,NA,"No schedule",NA,"Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2011-11-01
"Killer Whale","Northeast Pacific Northern Resident population","Threatened",2023-12-01,"Orcinus orca","Killer Whale","Northeast Pacific northern resident population","Threatened",2003-06-05,"Schedule 1",2003-06-05,"Pacific Ocean","Mammals (marine)",NA,"Added to list","Aquatic",2033-12-01
"Killer Whale","Northeast Pacific Offshore population","Threatened",2023-12-01,"Orcinus orca","Killer Whale","Northeast Pacific offshore population","Threatened",2011-06-23,"Schedule 1",2003-06-05,"Pacific Ocean","Mammals (marine)",NA,"Uplisted: Special Concern to threatened","Aquatic",2033-12-01
"Killer Whale","Northeast Pacific Southern Resident population","Endangered",2023-12-01,"Orcinus orca","Killer Whale","Northeast Pacific southern resident population","Endangered",2003-06-05,"Schedule 1",2003-06-05,"Pacific Ocean","Mammals (marine)",NA,"Added to list","Aquatic",2033-12-01
"Killer Whale","Northeast Pacific Transient population","Threatened",2023-12-01,"Orcinus orca","Killer Whale","Northeast Pacific transient population","Threatened",2003-06-05,"Schedule 1",2003-06-05,"Pacific Ocean","Mammals (marine)",NA,"Added to list","Aquatic",2033-12-01
"Lake Chub","Atlin Warm Springs population","Threatened",2018-11-01,"Couesius plumbeus","Lake Chub","Atlin Warm Springs population","No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)","Addition","Pending","Aquatic",2028-11-01
